Filename	Ni50Fe27Ga23 11_1 s1
170.50	65.4732	0.224989	41.95	-1.63422e-3
171.50	65.2909	0.224871	41.96	-1.75153e-3
172.50	65.0433	0.224639	41.98	-1.98377e-3
173.50	64.9947	0.224726	41.99	-1.89703e-3
174.50	65.2061	0.224192	42.01	-2.43067e-3
175.50	65.1208	0.223799	42.02	-2.82414e-3
176.50	64.8521	0.223660	42.03	-2.96286e-3
177.50	64.9838	0.223572	42.05	-3.05089e-3
178.50	64.8679	0.223910	42.06	-2.71255e-3
179.50	65.2837	0.223843	42.07	-2.78015e-3
180.50	64.9979	0.223169	42.09	-3.45360e-3
181.50	64.8758	0.222763	42.10	-3.85952e-3
182.50	64.6913	0.222639	42.12	-3.98392e-3
183.50	64.6496	0.222786	42.13	-3.83638e-3
184.50	64.9532	0.222494	42.15	-4.12880e-3
185.50	64.9698	0.222597	42.16	-4.02636e-3
186.50	64.8465	0.222266	42.18	-4.35645e-3
187.50	64.7876	0.222551	42.19	-4.07152e-3
188.50	64.8146	0.222622	42.20	-4.00098e-3
189.50	65.0345	0.222331	42.22	-4.29195e-3
190.50	65.0138	0.222294	42.23	-4.32861e-3
191.50	64.9045	0.222221	42.25	-4.40158e-3
192.50	64.8904	0.222505	42.26	-4.11737e-3
193.50	64.8555	0.222365	42.28	-4.25837e-3
194.50	65.1656	0.222101	42.29	-4.52221e-3
195.50	65.1374	0.221840	42.30	-4.78321e-3
196.50	65.0055	0.221951	42.32	-4.67150e-3
197.50	64.8617	0.221831	42.33	-4.79191e-3
