[Connect DataFile][2.1]
Date:	5/16/2025
Time:	09:05:11
Unit:	°C
Resolution:	0.050/0.100
Values:	12
SnapshotTrigger:	0	0.0
MeasurementTrigger:	0	0.0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:04.550	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:16:249		
000:00:04.600	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:16:299		
000:00:04.650	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:16:349		
000:00:04.700	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:16:399		
000:00:04.750	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:16:449		
000:00:04.800	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:16:499		
000:00:04.850	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:16:549		
000:00:04.900	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:16:599		
000:00:04.950	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:16:649		
000:00:05.000	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:16:699		
000:00:05.050	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:16:749		
000:00:05.100	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:16:799		
000:00:05.150	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:16:849		
000:00:05.200	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:16:899		
000:00:05.250	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:16:949		
000:00:05.300	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:16:999		
000:00:05.350	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:17:049		
000:00:05.400	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:17:099		
000:00:05.450	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:17:149		
000:00:05.500	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:17:199		
000:00:05.550	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:17:249		
