[Connect DataFile][2.1]
Date:	3/13/2025
Time:	09:14:48
Unit:	°C
Resolution:	0.050/0.100
Values:	12
SnapshotTrigger:	0	0.0
MeasurementTrigger:	0	0.0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:06.800	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:55:465		
000:00:06.850	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:55:515		
000:00:06.900	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:55:565		
000:00:06.950	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:55:615		
000:00:07.000	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:55:665		
000:00:07.050	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:55:715		
000:00:07.100	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:55:765		
000:00:07.150	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:55:815		
000:00:07.200	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:55:865		
000:00:07.250	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:55:915		
000:00:07.300	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:55:965		
000:00:07.350	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:56:015		
000:00:07.400	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:56:065		
000:00:07.450	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:56:115		
000:00:07.500	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:56:165		
000:00:07.550	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:56:215		
000:00:07.600	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:56:265		
000:00:07.650	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:56:315		
000:00:07.700	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:56:365		
