Sample Name, Ga23_5_4_36G
Freq, 36, GHz, Power, 15, dBm,
SR850: f = 25 Hz; phase = -83.5 deg; output = 5 V; sens. = 500 uV; tc = 300 ms; 12dB/oct
Time,Field,X,Y,R,theta
s,Oe,V,V,V,deg
5.226192E+1,3.821300E+3,-5.066430E-7,2.890840E-6,2.934901E-6,9.994059E+1
5.246196E+1,3.843500E+3,-1.192100E-7,6.556550E-7,6.664042E-7,1.003048E+2
5.266288E+1,3.854500E+3,-1.788150E-7,9.536820E-7,9.703011E-7,1.006196E+2
5.286291E+1,3.863600E+3,0.000000E+0,5.066430E-7,5.066430E-7,9.000000E+1
5.306288E+1,3.887300E+3,2.145780E-6,-1.311310E-6,2.514738E-6,-3.142957E+1
5.326288E+1,3.896800E+3,3.129260E-6,-7.450620E-7,3.216735E-6,-1.339250E+1
5.346292E+1,3.919600E+3,3.606100E-6,-1.519930E-6,3.913329E-6,-2.285487E+1
5.366291E+1,3.930000E+3,3.486890E-6,-2.145780E-6,4.094237E-6,-3.160752E+1
5.386292E+1,3.941900E+3,2.324600E-6,-2.652420E-6,3.526910E-6,-4.876844E+1
5.406292E+1,3.962900E+3,2.592820E-6,-1.043090E-6,2.794772E-6,-2.191490E+1
5.426192E+1,3.971800E+3,2.354400E-6,-2.205390E-6,3.225980E-6,-4.312829E+1
